Entity,code,Year,pop
Africa,,2021,3985.195
Algeria,DZA,2021,15496.054
Argentina,ARG,2021,21057.426
Asia,,2021,18849.434
Australia,AUS,2021,61297.17
Austria,AUT,2021,46162.414
Azerbaijan,AZE,2021,17768.523
Bangladesh,BGD,2021,2712.355
Belarus,BLR,2021,32071.727
Belgium,BEL,2021,65216.594
Brazil,BRA,2021,16285.675
Bulgaria,BGR,2021,31603.252
Canada,CAN,2021,101458.65
Chile,CHL,2021,23709.566
China,CHN,2021,30711.195
Colombia,COL,2021,10371.598
Croatia,HRV,2021,24481.988
Cyprus,CYP,2021,23950.348
Czechia,CZE,2021,44337.355
Denmark,DNK,2021,31864.82
Ecuador,ECU,2021,11896.498
Egypt,EGY,2021,9645.631
Estonia,EST,2021,49581.465
Europe,,2021,40177.05
European Union (27),,2021,37519.04
Finland,FIN,2021,58140.59
France,FRA,2021,40488.656
Germany,DEU,2021,42101.04
Greece,GRC,2021,28006.2
High-income countries,,2021,55860.28
Hong Kong,HKG,2021,32456.28
Hungary,HUN,2021,29062.688
Iceland,ISL,2021,157653.9
India,IND,2021,6991.664
Indonesia,IDN,2021,8431.905
Iran,IRN,2021,38512.965
Iraq,IRQ,2021,13546.977
Ireland,IRL,2021,34937.414
Israel,ISR,2021,32815.957
Italy,ITA,2021,29799.562
Japan,JPN,2021,39545.414
Kazakhstan,KAZ,2021,41235.133
Kuwait,KWT,2021,113650.29
Latvia,LVA,2021,22525.7
Lithuania,LTU,2021,25186.934
Lower-middle-income countries,,2021,6565.2754
Luxembourg,LUX,2021,65830.28
Malaysia,MYS,2021,34673.914
Mexico,MEX,2021,14883.635
Morocco,MAR,2021,7158.2437
Netherlands,NLD,2021,55146.145
New Zealand,NZL,2021,45563.5
North America,,2021,53944.934
North Macedonia,MKD,2021,13813.597
Norway,NOR,2021,105148.3
Oceania,,2021,40965.016
Oman,OMN,2021,92128.06
Pakistan,PAK,2021,4629.6455
Peru,PER,2021,9883.832
Philippines,PHL,2021,4784.9395
Poland,POL,2021,32210.059
Portugal,PRT,2021,25820.395
Qatar,QAT,2021,199137.94
Romania,ROU,2021,20167.602
Russia,RUS,2021,59913.562
Saudi Arabia,SAU,2021,83635.4
Singapore,SGP,2021,161620.34
Slovakia,SVK,2021,36195.938
Slovenia,SVN,2021,35382.957
South Africa,ZAF,2021,23284.135
South America,,2021,15836.094
South Korea,KOR,2021,67397.11
Spain,ESP,2021,32708.59
Sri Lanka,LKA,2021,4877.9946
Sweden,SWE,2021,60610.234
Switzerland,CHE,2021,34321.965
Taiwan,TWN,2021,57953.836
Thailand,THA,2021,19823.004
Trinidad and Tobago,TTO,2021,111894.47
Turkey,TUR,2021,22370.41
Turkmenistan,TKM,2021,70296.79
Ukraine,UKR,2021,21279.215
United Arab Emirates,ARE,2021,134316.92
United Kingdom,GBR,2021,29641.014
United States,USA,2021,76633.95
Upper-middle-income countries,,2021,26958.795
Uzbekistan,UZB,2021,16043.912
Venezuela,VEN,2021,20011.262
Vietnam,VNM,2021,12311.141
World,OWID_WRL,2021,20901.95
